ECON INL FW PRESS;DRUM PRESS;MN STM PRESS;CRH STM PRESS;HRH STM PRESS;COND VAC WIDE;ECON INL FW TEMP;MN STM TEMP;CRH STM TEMP;HRH STM TEMP;COND INL CW TEMP;COND  OUTL CW TEMP;AHTR PA OUT TEMP ;AHTR OUTL SECA TEMP ;AHTR OUT FG TEMP ;AHTR B OUT FG TEMP 4;PULV  INL PA TEMP;PULV  OUTL COAL/AIR TEMP;MAIN SPRY WTR FLOW;MN STM FLOW;RHR ATM SPRY WTR FLOW;TOT AIR FLOW FD FAN;TOTAL PA Flow;TOT COAL FLOW;GEN OUT MW;FGD SYS INLET NOX;FGD SYS INLET SOX;FGD SYS OUTLET SOX;A/H Outlet O2;Eff Thermal
190.417;185.745;168.067;37.634;35.692;-0.917;287.262;539.704;333.503;535.509;30.000;38.000;345.088;353.757;159.500;153.704;279.263;70.350;162.602;2122.263;5.072;2158.916;507.468;302.811;706.794;636.873;1765.350;586.401;2.630;35.748
190.520;186.057;168.242;37.653;35.713;-0.917;287.308;539.563;332.969;535.466;30.000;38.000;345.038;353.437;159.500;153.905;280.340;70.471;163.464;2123.386;4.947;2158.671;507.441;303.128;706.747;637.495;1778.014;585.431;2.708;35.750
190.742;186.063;168.247;37.653;35.713;-0.917;287.308;539.563;333.476;535.095;30.000;38.000;345.245;353.281;159.500;153.915;280.446;70.647;165.869;2126.354;5.257;2160.621;505.319;303.289;705.034;634.788;1788.898;597.204;2.757;35.746
190.742;186.063;168.200;37.706;35.752;-0.917;287.308;539.512;333.594;534.545;30.000;38.000;345.173;353.281;159.500;153.960;280.022;70.650;161.325;2127.873;5.134;2161.282;507.405;303.046;703.052;631.675;1790.895;601.864;2.740;35.767
190.742;186.063;168.147;37.764;35.794;-0.917;287.308;539.000;333.594;534.192;30.000;38.000;345.210;353.281;159.500;153.919;280.213;70.650;159.290;2129.539;4.899;2160.083;509.647;303.289;702.646;631.078;1793.384;597.381;2.669;35.736
190.742;186.059;168.147;37.764;35.794;-0.917;287.482;539.479;333.594;534.184;30.000;38.000;345.053;353.281;159.500;153.875;280.916;70.650;162.655;2131.155;5.572;2158.694;509.235;303.031;703.366;631.078;1785.249;595.246;2.628;35.802
190.707;186.027;168.070;37.764;35.794;-0.917;287.524;539.930;333.594;534.169;30.000;38.000;344.953;353.281;159.500;153.945;280.777;70.666;161.244;2133.045;5.275;2159.310;507.526;303.339;704.949;633.773;1793.359;596.897;2.681;35.763
190.259;185.533;167.882;37.764;35.794;-0.917;287.524;539.516;333.744;533.969;30.000;38.000;345.000;353.281;159.500;154.000;280.105;70.762;156.256;2129.608;5.367;2157.070;505.887;303.971;705.924;627.140;1804.682;603.709;2.780;35.602
189.780;185.091;167.174;37.705;35.740;-0.917;287.524;539.375;333.750;533.725;30.000;38.000;345.000;353.281;159.500;154.000;279.614;70.762;155.442;2122.845;5.128;2160.193;507.825;304.311;707.011;625.498;1804.888;604.384;2.765;35.462
189.551;184.814;167.113;37.672;35.711;-0.917;287.524;540.453;334.274;533.843;30.000;38.000;344.966;353.281;159.500;154.000;279.895;70.762;158.617;2120.576;5.170;2162.934;509.993;304.115;708.405;628.791;1799.518;602.353;2.734;35.465
189.660;184.989;167.192;37.672;35.711;-0.917;287.373;541.902;335.317;534.259;30.000;38.000;344.909;353.281;159.500;153.928;280.381;70.762;164.676;2122.032;4.926;2163.111;509.046;304.304;709.190;635.182;1804.462;602.898;2.614;35.479
190.081;185.451;167.375;37.672;35.711;-0.917;287.365;542.668;335.781;534.401;30.000;38.000;344.750;353.281;159.500;153.581;280.106;70.762;170.731;2125.179;5.147;2162.244;507.562;303.954;709.476;637.774;1815.360;609.539;2.643;35.600
190.229;185.545;167.943;37.712;35.711;-0.917;287.365;542.094;335.627;534.337;30.000;38.000;344.750;353.704;159.500;153.500;279.396;70.762;174.620;2128.486;5.118;2162.574;508.149;304.215;708.995;633.186;1816.087;613.827;2.731;35.618
190.462;185.791;167.943;37.786;35.807;-0.917;287.365;540.447;334.778;534.297;30.000;38.000;344.750;353.719;159.500;153.382;279.456;70.579;172.616;2132.734;5.290;2166.880;509.948;304.492;708.823;628.818;1810.421;621.325;2.740;35.641
190.797;186.105;167.943;37.925;35.914;-0.917;287.365;539.161;334.023;534.320;30.000;38.000;344.750;353.719;159.500;153.250;279.997;70.537;171.585;2135.725;5.358;2165.781;511.348;304.315;707.843;628.149;1799.976;611.948;2.737;35.732
191.081;186.325;167.943;38.010;35.936;-0.917;287.822;538.625;333.294;534.375;30.000;38.000;344.750;353.719;159.500;153.250;280.808;70.632;171.495;2137.799;5.147;2167.336;511.340;303.971;707.472;631.789;1802.014;606.441;2.654;35.812
191.133;186.421;168.282;38.010;35.936;-0.917;287.830;538.625;332.969;534.366;30.000;38.000;344.750;353.719;159.617;153.250;280.608;70.688;170.064;2139.892;5.145;2162.887;508.815;304.089;707.313;627.226;1805.520;610.927;2.630;35.812
190.870;186.148;168.236;38.010;35.936;-0.917;287.830;538.625;332.991;534.063;30.000;38.000;344.906;353.719;159.750;153.250;280.565;70.688;168.437;2139.892;5.069;2164.976;509.443;304.823;708.017;628.450;1819.726;614.798;2.654;35.702
